Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
128,Cook County Health & Hospitals System,IL,None,7081,Theft,Laptop,2014-01-23,"An employee's laptop was stolen out of a locked office; evidence shows that the laptop was password protected but not encrypted.  The laptop contained the protected health information (PHI) of approximately 7,000 individuals.  The PHI stored on the laptop included names, dates of birth, Social Security numbers, internal encounter numbers, and other administrative codes.  Following the breach, the covered entity notified those individuals reasonably believed to have been affected by the breach, placed notice on its website and with a local news center; established stringent computer security guidelines, and retrained its staff in the new requirements with the intention of preventing a similar event from occurring again.

",2010-05-30,Unknown Date,2010,Theft
129,University of Kentucky,KY,None,2027,Theft,Laptop,2014-01-23,Unknown detailed,2010-06-18,Unknown Date,2010,Theft
130,Yale University,CT,None,1000,Theft,Laptop,2014-01-23,Unknown detailed,2010-07-28,Unknown Date,2010,Theft
131,"Milton Pathology Associates, P.C.",MA,Joseph A. Gagnon d/b/a Goldthwait Associates,11000,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-07-26,Unknown Date,2010,Improper Disposal
132,"LORENZO BROWN, MD INC.",CA,None,928,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-08-17,Unknown Date,2010,Theft
133,"University of Oklahoma - Tulsa, Neurology Clinic",OK,None,19200,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2010-07-28,Unknown Date,2010,Hacking/IT Incident
134,St. James Hospital and Health Centers,IL,None,967,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-08-10,Unknown Date,2010,Improper Disposal
135,NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,None,6800,Theft,Network Server,2014-06-19,"Data breach results in $4.8 million HIPAA settlements

Two health care organizations have agreed to settle charges that they potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules by failing to secure thousands of patients' electronic protected health information (ePHI) held on their network. The monetary payments of $4,800,000 include the largest HIPAA settlement to date.

The U.S. Department of Health and Human Services (HHS) Office for Civil Rights (OCR) initiated its investigation of New York and Presbyterian Hospital (NYP) and Columbia University (CU) following their submission of a joint breach report, dated September 27, 2010, regarding the disclosure of the ePHI of 6,800 individuals, including patient status, vital signs, medications, and laboratory results. 

NYP and CU are separate covered entities that participate in a joint arrangement in which CU faculty members serve as attending physicians at NYP. The entities generally refer to their affiliation as 'New York Presbyterian Hospital/Columbia University Medical Center.'  NYP and CU operate a shared data network and a shared network firewall that is administered by employees of both entities. The shared network links to NYP patient information systems containing ePHI.

The investigation revealed that the breach was caused when a physician employed by CU who developed applications for both NYP and CU attempted to deactivate a personally-owned computer server on the network containing NYP patient ePHI. Because of a lack of technical safeguards, deactivation of the server resulted in ePHI being accessible on internet search engines. The entities learned of the breach after receiving a complaint by an individual who found the ePHI of the individual's deceased partner, a former patient of NYP, on the internet.

In addition to the impermissible disclosure of ePHI on the internet, OCR's investigation found that neither NYP nor CU made efforts prior to the breach to assure that the server was secure and that it contained appropriate software protections. Moreover, OCR determined that neither entity had conducted an accurate and thorough risk analysis that identified all systems that access NYP ePHI. As a result, neither entity had developed an adequate risk management plan that addressed the potential threats and hazards to the security of ePHI. Lastly, NYP failed to implement appropriate policies and procedures for authorizing access to its databases and failed to comply with its own policies on information access management.

'When entities participate in joint compliance arrangements, they share the burden of addressing the risks to protected health information,'  said Christina Heide, Acting Deputy Director of Health Information Privacy for OCR. 'Our cases against NYP and CU should remind health care organizations of the need to make data security central to how they manage their information systems.' 

NYP has paid OCR a monetary settlement of $3,300,000 and CU $1,500,000, with both entities agreeing to a substantive corrective action plan, which includes undertaking a risk analysis, developing a risk management plan, revising policies and procedures, training staff, and providing progress reports.

",2010-07-01,Unknown Date,2010,Theft
136,"Alliance HealthCare Services, Inc.",CA,Eden Medical Center,1474,Theft,"Other Portable Electronic Device, Other",2014-06-24,"The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices.",2010-08-05,Unknown Date,2010,Theft
137,"Alliance HealthCare Services, Inc.",CA,Oroville Hospital,1474,Theft,"Other Portable Electronic Device, Other",2014-04-24,"The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.



",2010-07-31,Unknown Date,2010,Theft
138,Milford Regional Medical Center,MA,None,20000,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-07-26,Unknown Date,2010,Improper Disposal
139,"St. Vincent Hospital and Health Care Center, Inc.",IN,None,1199,Theft,Laptop,2014-01-23,Unknown detailed,2010-07-25,Unknown Date,2010,Theft
140,"State of Alaska, Department of Health and Social Services",AK,Alaskan AIDS Assistance Association,2000,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-09-07,Unknown Date,2010,Theft
141,United States Air Force,OH,None,2123,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-07-29,Unknown Date,2010,Improper Disposal
142,Counseling and Psychotherapy of Throggs Neck,NY,None,9000,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-09-06,Unknown Date,2010,Theft
143,UnitedHealth Group health plan single affiliated covered entity,MN,CareCore National,1270,Other,Paper,2014-01-23,Unknown detailed,2010-07-08,Unknown Date,2010,Other
144,"Matthew H. Conrad, M.D., P.A.",KS,None,1200,Theft,"Laptop, Paper",2014-01-23,Unknown detailed,2010-08-20,Unknown Date,2010,Theft
145,County of Los Angeles,CA,None,33000,Theft,Paper,2014-01-23,Unknown detailed,2010-07-29,Unknown Date,2010,Theft
146,Ault Chiropractic Center,IN,None,2000,Theft,"Laptop, Desktop Computer",2014-01-23,Unknown detailed,2010-09-15,Unknown Date,2010,Theft
147,SunBridge Healthcare Corporation,NM,None,3830,Theft,Laptop,2014-01-23,Unknown detailed,2010-05-11,Unknown Date,2010,Theft
148,University of Florida,FL,None,2047,Other,Paper,2014-01-23,Unknown detailed,2010-05-24,Unknown Date,2010,Other
149,NYU Hospitals Center,NY,None,2563,Theft,Other Portable Electronic Device,2014-05-28,"The covered entity (CE) misplaced an unencrypted USB drive that contained the electronic protected health information (ePHI) of 2,563 individuals.  The ePHI included names, medical record numbers, ages, genders, procedures, attending physicians' names, anesthesiologists' names, types of anesthesia, times of arrival in the recovery room, and times of discharge.  Upon discovery of the breach, the CE reported the incident to internal security as a possible theft and conducted a thorough search of the perimeter.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE stopped using USB drives and local desktop computers for data storage.  In addition, the CE updated physical security in the recovery room and installed data prevention software to monitor, block or encrypt mobile media used in the CE.  Further, the CE purchased encrypted USB drives for workforce members with an identified need to download and store ePHI.  The CE also revised its mobile device and portable storage media policy and retrained all workforce members on its policies.",2010-05-08,Unknown Date,2010,Theft
150,Long Island Consultation Center,NY,None,800,Theft,"Other Portable Electronic Device, Other",2014-06-19,"The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. ",2010-05-21,Unknown Date,2010,Theft
151,California Department of Healthcare Services,CA,Care 1st Health Plan,29000,"Loss, Other","Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-04-29,Unknown Date,2010,"Loss, Other"
152,Centerstone,TN,None,1537,Other,"Desktop Computer, Paper",2014-01-23,Unknown detailed,2010-05-01,Unknown Date,2010,Other
153,Children's Hospital & Research Center at Oakland,CA,None,1000,Other,Paper,2014-01-23,Unknown detailed,2010-05-25,Unknown Date,2010,Other
154,"Mary M. Desch,MD/PathHealer, LTD",AZ,None,5893,Theft,Laptop,2014-01-23,Unknown detailed,2010-05-15,Unknown Date,2010,Theft
155,"Sinai Hospital of Baltimore, Inc.",MD,"Aramark Healthcare Support Services, LLC",937,Other,E-mail,2014-01-23,"A business associate employee sent an email to multiple patients without concealing patient email addresses.  The message concerned a dietary program in which the names and email addresses were visible to all recipients.  The breach affected 937 individuals.  In response to this incident, the covered entity took steps to enforce the requirements of its business associate agreement with Aramark.  The business associate counseled the employee responsible for the breach and retrained all employees who may communicate with patients via email on the requirements of the Privacy and Security Rules as well as related policies and procedures.

",2010-05-03,Unknown Date,2010,Other
156,University Health System,NV,None,7526,Theft,Network Server,2014-01-23,Unknown detailed,2010-06-11,Unknown Date,2010,Theft
157,University Hospital,GA,"Augusta Data Storage, Inc",14000,Loss,Other,2014-01-23,Unknown detailed,2010-05-07,Unknown Date,2010,Loss
158,alma aguado md pa,TX,None,600,Theft,Network Server,2014-04-23,"OCR investigated the covered entity (CE) following a report that its main server and desktop computers containing the electronic protected health information (ePHI) of 600 individuals were taken from the CE's office.  The ePHI involved in the breach included patient names, addresses, dates of birth, and social security numbers.  As a result of OCR's investigation, the CE changed its privacy and security policies, retrained its employees and provided additional physical security to better safeguard patient ePHI.",2010-05-29,Unknown Date,2010,Theft
159,Comprehensive Care Management Corporation,NY,None,1020,Theft,"Laptop, Desktop Computer, Network Server, E-mail",2014-06-19,"OCR opened an investigation of the covered entity (CE), Comprehensive Care Management Corporation, after it reported two former employees sent emails that contained the electronic protected health information (ePHI) of 1,020 individuals to their personal email accounts to open a competitor organization.  The ePHI included names, addresses, and enrollment information.  Upon discovery of the breach, the CE conducted an internal inquiry and found that the former employees disclosed the ePHI to its competitor.  As a result of OCR's investigation, the CE replaced and strengthened external firewalls, restricted access to email websites, restricted the use of portable devices, limited the ability to upload data to external websites, and evaluated new monitor and control software for network information.  In addition, the CE provided training to all staff on its HIPAA policies and procedures.  The CE also entered into an agreement with its competitor who hired the former employees to return or destroy the ePHI.",2010-04-30,Unknown Date,2010,Theft
160,The Children's Medical Center of Dayton,OH,None,1001,Other,E-mail,2014-01-23,Unknown detailed,2010-04-22,Unknown Date,2010,Other
161,TennCare,TN,DentaQuest,10515,Theft,Laptop,2014-06-20,"A car containing an unencrypted laptop computer was stolen from West Monroe Partners, a contractor for the covered entity's (CE) business associate (BA), DentaQuest.  The laptop stored a database containing the electronic protected health information (ePHI) of approximately 76,000 individuals, including data on 10,515 of the CE's members.  The types of PHI involved in the breach included names, social security numbers, dates, and certain provider identification numbers.  The CE and BA worked together to provide breach notification to affected individuals and the media, and offered free credit monitoring and enhanced credit services to affected individuals for one year. The CE reported the breach to HHS and provided substitute notification on its website.  The BA implemented procedures to ensure that any third party laptops connecting to its network employ disk encryption.  Further, the BA established a policy to prohibit contractors from storing PHI on laptops.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2010-03-20,Unknown Date,2010,Theft
162,St. Jude Children's Research Hospital,TN,None,1745,Loss,Laptop,2014-01-23,Unknown detailed,2010-04-19,Unknown Date,2010,Loss
163,"Prime Home Care, LLC",NE,None,1550,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-09-13,Unknown Date,2010,Theft
164,VNA of Southeastern Ct.,CT,None,12000,Theft,Laptop,2014-01-23,Unknown detailed,2010-09-30,Unknown Date,2010,Theft
165,Puerto Rico Department of Health,PR,Medical Card System/MCS-HMO/MCS Advantage/MCS Life,115000,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-09-03,Unknown Date,2010,Unauthorized Access/Disclosure
166,Sta-home Health & Hospice,MS,None,1104,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-09-16,Unknown Date,2010,Theft
167,"Aetna, Inc.",CT,None,2345,Unauthorized Access/Disclosure,Network Server,2014-01-23,"Aetna notified all possibly affected individuals of the breach, filed a breach report with OCR, commenced an investigation to identify and correct the root cause of the issue; the coding changes that were causing the breach were removed from IPS via Aetna's emergency Change Management procedures to prevent any further exposure while the problem was analyzed; once the specific code that conflicted with its proxy server settings was identified as the root cause of the breach, it was removed. Also, in an effort to mitigate any harm as a result of the breach, Aetna offered all affected individuals one year of free credit monitoring, and the notification letters included a toll-free number which was established specifically to answer questions related to this incident. 

",2010-09-09,Unknown Date,2010,Unauthorized Access/Disclosure
168,Northridge Hospital Medical Center,CA,None,716,Loss,Paper,2014-01-23,Unknown detailed,2010-10-16,Unknown Date,2010,Loss
169,University of Arkansas for Medical Sciences,AR,None,1000,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-10-12,Unknown Date,2010,Theft
170,SW Seattle Orthopaedic and Sports Medicine,WA,None,9493,Hacking/IT Incident,Network Server,2014-01-23,"A database web server, containing the electronic protected health information (EPHI) of 9,493 individuals, was breached by an unknown, external person(s) for use as a game server.  Although there was no indication of access to EPHI, the EPHI on the database web server included names, dates of birth, types of x-rays, and dates of x-rays.  Following the breach, the covered entity relocated two servers to its more secure primary data center and removed the Internet access line that resulted in the breach.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as incident response and reporting.  

",2010-09-04,Unknown Date,2010,Hacking/IT Incident
171,Utah Department of Health,UT,Utah Department of Workforce Services,1298,Other,"Desktop Computer, Paper",2014-01-23,Unknown detailed,2010-03-01,Unknown Date,2010,Other
172,LoneStar Audiology Group,TX,None,585,Theft,Laptop,2014-01-23,"A laptop was stolen from a workforce member's home. Approximately 585 individuals were affected.  The PHI included addresses, dates of birth, diagnosis and conditions, medications and other treatment information. Following the breach, the covered entity encrypted all its laptops. After the initiation of OCR's investigation, the encryption of the laptops was completed.

",2010-08-11,Unknown Date,2010,Theft
173,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,None,692,Other,Other,2014-01-23,"Protected health information was attached to an email addressed to 85 employees by a benefits staff member. Within 5 days, all recipients were notified, and the email was deleted.  Approximately 692 individuals were affected by this breach.  The email included names, dates of birth, social security numbers, and marital and disability status.  To prevent a similar breach from happening in the future, the covered entity instituted a policy to encrypt emails containing protected health information before it is sent out from the benefits department.  Following OCR's investigation, the covered entity updated its policies and procedures establishing a new business process to require that all emails sent by the benefits office to 5 or more staff members that includes an attachment be reviewed by another team member to ensure the proper document is attached and took personnel action with the responsible employee. Further, the benefits office will use an encryption specialist to train all benefits office staff in the proper methods of encryption, explore future capability of automated flagging of any electronic communications sent by benefits office staff containing potentially sensitive data such as 9-digit numbers, and obtain additional HIPAA training.

",2010-06-15,Unknown Date,2010,Other
174,"Cumberland Gastroenterology, P.S.C.",KY,None,2200,Theft,Paper,2014-01-23,Unknown detailed,2010-09-18,Unknown Date,2010,Theft
175,"Debra C. Duffy, DDS",TX,None,4700,Theft,"Laptop, Network Server",2014-01-23,"An unencrypted laptop and network server were stolen during a burglary of the office.The breach affected approximately 4700 individuals.The protected health information involved in the breach included treatment information for pediatric dental patients and social security numbers, insurance identification numbers and driver's license numbers. Following the discovery of the breach, the CE relocated the practice servers, secured the laptops and installed steel doors at the front entrance of the facility. Additionally, the CE notified the affected individuals and local media and retrained staff.  

",2010-08-05,Unknown Date,2010,Theft
176,WESTMED Medical Group,NY,None,578,Theft,Laptop,2014-06-19,"An unencrypted laptop computer that contained the electronic protected health information (ePHI) of 578 individuals was stolen from the covered entity (CE), WestMed Medical Group.  The ePHI included names, dates of birth and test results.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS and the media.  As a result of OCR's investigation, the CE improved physical security by locking all laptops during the day and storing all laptops in a locked cabinet overnight.  In addition, the CE reconfigured all laptops with strong passwords and implemented a new procedure to save data to a secure file server.  Further, the CE encrypted all laptop hard drives.  The CE also retrained staff on safeguarding ePHI.



",2010-08-17,Unknown Date,2010,Theft
177,"Gary C. Spinks, DMD, PC",MD,None,1000,Hacking/IT Incident,"Desktop Computer, Network Server",2014-01-23,Unknown detailed,2010-09-29,Unknown Date,2010,Hacking/IT Incident
178,Hospital Auxilio Mutuo,PR,None,1000,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Laptop, Desktop Computer",2014-01-23,Unknown detailed,2010-11-09,Unknown Date,2010,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident"
179,zarzamora family dental care,TX,None,800,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-10-15,Unknown Date,2010,Theft
180,Ochsner Health System,LA,H.E.L.P. Financial Corporation,9475,Unauthorized Access/Disclosure,Paper,2014-01-23,"A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  

",2010-09-27,Unknown Date,2010,Unauthorized Access/Disclosure
181,Kings County Hospital Center,NY,None,542,Theft,Desktop Computer,2014-06-19,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",2010-08-22,Unknown Date,2010,Theft
182,Albert Einstein Healthcare Network,PA,None,613,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-10-21,Unknown Date,2010,Theft
183,Oklahoma City VA Medical Center,OK,None,1950,"Theft, Loss, Improper Disposal",Paper,2014-01-23,Unknown detailed,2010-10-08,Unknown Date,2010,"Theft, Loss, Improper Disposal"
184,Memorial Hospital of Gardena,CA,None,771,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2010-10-14,Unknown Date,2010,Unauthorized Access/Disclosure
185,Newark Beth Israel Medical Center,NJ,"Professional Transcription Company, Inc.",1744,Theft,Network Server,2014-06-19,"The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-01-01,Unknown Date,2010,Theft
186,Holy Cross Hospital,FL,None,1500,Theft,Paper,2014-01-23,Unknown detailed,2010-07-27,Unknown Date,2010,Theft
187,Henry Ford Hospital,MI,None,3700,Theft,Laptop,2014-01-23,Unknown detailed,2010-09-24,Unknown Date,2010,Theft
188,"Robert Wheatley, DDS, PC",MO,None,1400,Theft,Laptop,2014-01-23,Unknown detailed,2010-10-17,Unknown Date,2010,Theft
189,"Manor Care Indy (South), LLC.",IN,None,845,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2010-09-11,Unknown Date,2010,Unauthorized Access/Disclosure
190,Visiting Nurse Service Association of Schenectady County,NY,None,535,Theft,Laptop,2014-06-19,"An encrypted laptop computer that contained the electronic protected health information (ePHI) of 535 individuals was stolen from the covered entity (CE).  The ePHI included names, addresses, and dates of birth.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  Following OCR's investigation, the CE disabled the involved staff member's account, verbally counseled the staff member, and retrained the staff member.  The CE also adopted and implemented security policies and procedures for laptops/tablet devices and provided training to all staff.",2010-09-14,Unknown Date,2010,Theft
191,Friendship Center Dental Office,FL,None,2200,Theft,Laptop,2014-01-23,Unknown detailed,2010-12-19,Unknown Date,2010,Theft
192,"Seacoast Radiology, PA",NH,None,231400,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2010-11-12,Unknown Date,2010,Hacking/IT Incident
193,"Ankle + Foot Center of Tampa Bay, Inc.",FL,None,156000,Theft,Network Server,2014-06-30,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",2010-10-28,Unknown Date,2010,Theft
194,Keystone/AmeriHealth Mercy Health Plans,PA,None,808,Loss,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-09-20,Unknown Date,2010,Loss
195,"Southern Perioperative Services, P.C.",AL,None,2000,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-11-17,Unknown Date,2010,Theft
196,International Union of Operating Engineers Health and Welfare Fund ,MD,"Zenith Administrators, Inc.",800,Theft,Paper,2014-01-23,Unknown detailed,2010-10-25,Unknown Date,2010,Theft
197,Our Lady of Peace Hospital,KY,None,24600,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-03-31,Unknown Date,2010,"Theft, Loss"
198,Geisinger Wyoming Valley Medical Center,PA,None,2928,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2010-11-03,Unknown Date,2010,Unauthorized Access/Disclosure
199,Mankato Clinic,MN,None,3159,Theft,Laptop,2014-01-23,Unknown detailed,2010-11-01,Unknown Date,2010,Theft
200,Indiana Family and Social Services Administration,IN,The Southwestern Indiana Regional Council on Aging,757,Theft,Laptop,2014-01-23,Unknown detailed,2010-11-04,Unknown Date,2010,Theft
201,Osceola Medical Center,WI,Hils Transcription,585,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2010-11-25,Unknown Date,2010,Unauthorized Access/Disclosure
202,California Therapy Solutions,CA,None,1250,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-11-11,Unknown Date,2010,Theft
203,"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,None,3288,Theft,Laptop,2014-01-23,Unknown detailed,2010-11-08,Unknown Date,2010,Theft
204,Cook County Health & Hospitals System,IL,None,556,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-11-01,Unknown Date,2010,Theft
205,Long Beach Memorial Medical Center,CA,None,2250,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2010-12-10,Unknown Date,2010,Unauthorized Access/Disclosure
206,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,NY,GRM Information Management Services,1700000,Theft,"Other, Electronic Medical Record",2014-05-28,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-12-23,Unknown Date,2010,Theft
207,Saint Louis University,MO,None,800,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2010-12-11,Unknown Date,2010,Hacking/IT Incident
208,Jefferson Center for Mental Health,CO,None,546,Theft,Paper,2014-01-23,Unknown detailed,2010-12-13,Unknown Date,2010,Theft
209,"CHC MEMPHIS CMHC, LLC",TN,None,500,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-12-04,Unknown Date,2010,Theft
210,Baylor Heart and Vascular Center,TX,None,8241,Theft,"Other Portable Electronic Device, Other",2014-04-23,"A portable ultrasound machine containing electronic protected health information (ePHI) of approximately 8,241 individuals was stolen from the covered entity's (CE) facility.  The ePHI involved in the breach included patient names, dates of birth, and limited health information.  Upon discovery of the breach, the CE conducted a privacy and security assessment of its portable machines to identify vulnerabilities.  Following OCR's investigation, the CE updated its privacy and security policies, retrained its employees, and increased physical security to ensure reasonable safeguards.",2010-12-02,Unknown Date,2010,Theft
211,"Hanger Prosthetics & Orthotics, Inc.",TX,None,4486,Theft,Laptop,2014-01-23,"An unencrypted laptop was stolen from an employee offsite.  The laptop contained the PHI of 4,486 patients. The protected health information involved in the breach contained names, addresses and procedure codes. Following the breach, the CE filed a police report, notified affected patients and notified the media. Following the discovery of the breach, the covered entity encrypted all existing laptops and implemented a policy requiring all future purchased laptops to be encrypted prior to being issued for use.  

",2010-11-24,Unknown Date,2010,Theft
212,"Grays Harbor Pediatrics, PLLC",WA,None,12009,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-11-23,Unknown Date,2010,Theft
213,Baptist Memorial Hospital - Huntingdon,TN,J. A. Still Corporation,4800,Theft,Other,2014-04-23,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",2010-11-27,Unknown Date,2010,Theft
214,"Benefit Resources, Inc.",SC,Travis Software Corp.,16200,Loss,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-10-13,Unknown Date,2010,Loss
215,Lake Woods Nursing & Rehabilitation Center,MI,None,656,Theft,"Laptop, Desktop Computer",2014-01-23,Unknown detailed,2010-12-28,Unknown Date,2010,Theft
216,State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,None,5596,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2010-11-08,Unknown Date,2010,Hacking/IT Incident
217,Franciscan Medical Group,WA,None,1250,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-11-18,Unknown Date,2010,Theft
218,Texas Health Harris Methodist Hospital Azle,TX,None,9922,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-04-07,Unknown Date,2010,"Theft, Loss"
